"CCR000001899","includesChapter","CBB000330942","CBB000330949"
"CCR000001900","includesChapter","CBB000330942","CBB000330950"
"CCR000001901","includesChapter","CBB000330942","CBB000330952"
"CCR000003349","includesChapter","CBB000330942","CBB000330943"
"CCR000003350","includesChapter","CBB000330942","CBB000330944"
"CCR000003351","includesChapter","CBB000330942","CBB000330945"
"CCR000003352","includesChapter","CBB000330942","CBB000330946"
"CCR000003353","includesChapter","CBB000330942","CBB000330947"
"CCR000003354","includesChapter","CBB000330942","CBB000330948"
"CCR000003355","includesChapter","CBB000330942","CBB000330951"
"CCR000003356","includesChapter","CBB000330942","CBB000330953"
"CCR000003357","includesChapter","CBB000330942","CBB000330954"
"CCR000007005","isReviewedBy","CBB000330942","CBB000550547"
"CCR000007313","isReviewedBy","CBB000330942","CBB000550842"
"CCR000007378","isReviewedBy","CBB000330942","CBB000550950"
"CCR000007555","isReviewedBy","CBB000330942","CBB000502598"
"CCR000009248","isReviewedBy","CBB000330942","CBB000651530"
"CCR000013394","isReviewedBy","CBB000330942","CBB000700664"
"CCR000015759","isReviewedBy","CBB000330942","CBB000774924"
